player_id,puuid,rank_group,sample_tier,sample_division,sample_league_points,game_name,tag_line,match_id,game_start,queue_id,game_mode,game_duration_min,champion,position,win,kills,deaths,assists,kda,gold,damage_to_champions,damage_taken,vision_score,cs,cs_per_min,game_end,gap_since_previous_game_min,new_session,session_id,game_in_session,continued_session
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7921374539,2026-07-17 16:58:02.645000+00:00,420,CLASSIC,20.33333333333333,Katarina,MIDDLE,False,1,11,2,0.2727272727272727,5110,4794,17704,8,83,4.081967213114754,2026-07-17 17:18:22.644999998+00:00,5.039816666633333,False,11,3,False
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7922164915,2026-07-18 12:29:38.664000+00:00,420,CLASSIC,25.8,Yasuo,MIDDLE,False,4,3,3,2.333333333333333,8974,11419,15204,16,185,7.170542635658914,2026-07-18 12:55:26.664000+00:00,1151.2669833333666,True,12,1,True
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7922194893,2026-07-18 13:02:34.568000+00:00,420,CLASSIC,30.58333333333333,Kayn,JUNGLE,False,1,7,7,1.1428571428571428,10500,6552,30196,23,199,6.506811989100818,2026-07-18 13:33:09.567999998+00:00,7.131733333333333,False,12,2,False
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7923220647,2026-07-19 12:18:36.763000+00:00,420,CLASSIC,25.633333333333333,Sion,TOP,False,1,9,1,0.2222222222222222,7086,13816,39836,16,155,6.0468140442132645,2026-07-19 12:44:14.762999998+00:00,1365.4532500000334,True,13,1,False
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7924168051,2026-07-20 12:08:57.285000+00:00,420,CLASSIC,31.316666666666663,Vi,TOP,False,4,14,4,0.5714285714285714,9937,7918,27675,21,144,4.598190526875998,2026-07-20 12:40:16.285000002+00:00,1404.7087000000333,True,14,1,True
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7924196883,2026-07-20 12:44:39.102000+00:00,420,CLASSIC,30.58333333333333,Vi,TOP,False,2,13,6,0.6153846153846154,8461,12562,32860,24,156,5.100817438692098,2026-07-20 13:15:14.101999998+00:00,4.3802833332999995,False,14,2,False
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7925834182,2026-07-21 21:39:37.619000+00:00,420,CLASSIC,15.666666666666666,Vi,TOP,False,0,3,1,0.3333333333333333,4152,4838,8397,12,91,5.808510638297872,2026-07-21 21:55:17.619000002+00:00,1944.3919500000334,True,15,1,True
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7925858298,2026-07-21 22:01:01.845000+00:00,420,CLASSIC,26.83333333333333,Ezreal,BOTTOM,True,2,5,7,1.8,9025,8292,19072,10,116,4.322981366459628,2026-07-21 22:27:51.844999998+00:00,5.737099999966667,False,15,2,False
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7926190653,2026-07-22 12:08:44.371000+00:00,420,CLASSIC,1.1333333333333333,Vi,TOP,False,0,0,0,0.0,508,0,0,0,0,0.0,2026-07-22 12:09:52.370999998+00:00,820.8754333333667,True,16,1,True
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7926195098,2026-07-22 12:16:24.749000+00:00,420,CLASSIC,29.28333333333333,Sion,TOP,True,2,7,7,1.2857142857142858,9965,15041,38756,16,148,5.054069436539556,2026-07-22 12:45:41.748999998+00:00,6.539633333366667,False,16,2,True
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7926222791,2026-07-22 12:49:37.769000+00:00,420,CLASSIC,26.566666666666663,Vi,TOP,False,1,10,0,0.1,6482,9462,23359,18,131,4.93099121706399,2026-07-22 13:16:11.769000002+00:00,3.9336666666999998,False,16,3,False
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7928417659,2026-07-24 16:17:32.139000+00:00,420,CLASSIC,19.48333333333333,Singed,TOP,False,0,7,0,0.0,4930,5190,15176,4,111,5.697177074422583,2026-07-24 16:37:01.138999998+00:00,3061.3394999999664,True,17,1,True
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7928442984,2026-07-24 16:44:39.486000+00:00,420,CLASSIC,29.216666666666665,Skarner,JUNGLE,True,4,7,6,1.4285714285714286,10482,7719,31640,6,167,5.71591557330291,2026-07-24 17:13:52.486000002+00:00,7.639116666700001,False,17,2,False
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7929198370,2026-07-25 12:02:15.594000+00:00,420,CLASSIC,32.05,Skarner,JUNGLE,False,6,9,8,1.5555555555555556,11863,13900,42548,20,173,5.3978159126365055,2026-07-25 12:34:18.594000+00:00,1128.3851333333,True,18,1,True
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7929234314,2026-07-25 12:39:56.642000+00:00,420,CLASSIC,15.566666666666666,Skarner,JUNGLE,False,0,5,1,0.2,4345,1944,12542,7,77,4.946466809421842,2026-07-25 12:55:30.642000002+00:00,5.634133333333334,False,18,2,True
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7929250446,2026-07-25 13:00:46.957000+00:00,420,CLASSIC,15.183333333333334,Gragas,TOP,False,0,1,0,0.0,3892,5856,10713,11,90,5.92755214050494,2026-07-25 13:15:57.956999998+00:00,5.2719166666333335,False,18,3,False
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7930916978,2026-07-26 21:00:35.337000+00:00,420,CLASSIC,36.38333333333333,Skarner,JUNGLE,False,2,6,11,2.1666666666666665,11784,13772,50226,31,177,4.864864864864865,2026-07-26 21:36:58.336999998+00:00,1904.6230000000332,True,19,1,True
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7930971641,2026-07-26 21:41:26.533000+00:00,420,CLASSIC,30.816666666666663,Sion,TOP,False,0,10,1,0.1,7715,7397,40286,21,131,4.250946457544619,2026-07-26 22:12:15.533000002+00:00,4.469933333366667,False,19,2,True
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7931010534,2026-07-26 22:17:28.797000+00:00,420,CLASSIC,32.53333333333333,Zed,MIDDLE,True,4,10,7,1.1,9656,13923,26164,15,141,4.334016393442624,2026-07-26 22:50:00.796999998+00:00,5.221066666633333,False,19,3,False
35,-TGbgbhadiw9P4pTWUwHu3DshEonSh7JbVoQ6vFLDh8qVPDIfnJnunWY7pi5UM9TlJMWJ-a7DPP5tw,BRONZE,BRONZE,II,77,qazx232323,EUW,EUW1_7931953745,2026-07-27 21:23:04.471000+00:00,420,CLASSIC,26.0,Skarner,TOP,False,0,5,0,0.0,6679,2184,23673,19,153,5.884615384615385,2026-07-27 21:49:04.471000+00:00,1353.0612333333668,True,20,1,True
